,FishID,temp,fifth_perc_MO2_mg_hr,fifth_perc_MO2_mg_hr_kg,tenth_perc_MO2_mg_hr,tenth_perc_MO2_mg_hr_kg,Chamber,Chamber_pos,sex,pop,Channel,length,mass,mass_kg,wam_date,Weekday,accl_order
98,O2O4G6,28,6.274855777,581.0051646,6.42605535,595.005125,2,b,M,OCE,1,71,10.8,0.0108,3/22/19,Friday,2
102,O2P3O6,28,2.876671286,250.1453292,3.037551212,264.134888,14,b,M,OCE,7,75,11.5,0.0115,3/22/19,Friday,2
124,P1G3G6,28,5.036832936,359.7737811,5.168176504,369.1554646,10,b,F,OCE,5,80,14,0.014,3/22/19,Friday,2
141,P1R3G6,28,4.070738519,252.8409018,4.268722615,265.1380506,20,b,F,OCE,10,81,16.1,0.0161,3/22/19,Friday,2
154,P2P4R6,28,4.86646005,657.6297365,4.925468916,665.6039076,6,b,M,NOC,3,62,7.4,0.0074,3/22/19,Friday,2
189,R1P4R5,28,4.409756488,312.7486871,4.855151561,344.3369901,15,a,M,SOC,8,80,14.1,0.0141,3/22/19,Friday,2
201,R2G4G5,28,2.280977929,345.6027165,2.315182126,350.7851706,18,b,M,OCE,9,64,6.6,0.0066,3/22/19,Friday,2
212,R3G4O6,28,3.383469914,331.7127366,3.625253398,355.4169998,17,a,M,SOC,9,70,10.2,0.0102,3/22/19,Friday,2
225,R4R5O6,28,4.469898858,392.096391,4.613326085,404.6777267,4,b,M,OCE,2,74,11.4,0.0114,3/22/19,Friday,2
5,G1O2O6,28,1.308414436,124.6108986,1.420538677,135.2893978,10,b,F,NOC,5,73,10.5,0.0105,3/27/19,Wednesday,2
24,G2G3O4,28,4.407933993,282.5598713,4.428386254,283.8709137,7,a,F,OCE,4,86,15.6,0.0156,3/27/19,Wednesday,2
33,G2O3P5,28,3.152106686,289.1840996,3.282547068,301.1511071,13,a,M,NOC,7,71,10.9,0.0109,3/27/19,Wednesday,2
50,G2R4P6,28,4.333323742,265.8480824,4.447238276,272.8367041,5,a,M,OCE,3,83,16.3,0.0163,3/27/19,Wednesday,2
65,O1G2O6,28,2.243859752,263.9835002,2.426358914,285.4539899,6,b,M,OCE,3,67,8.5,0.0085,3/27/19,Wednesday,2
69,O1G3G4,28,3.397866438,271.829315,3.461949987,276.955999,18,b,M,OCE,9,78,12.5,0.0125,3/27/19,Wednesday,2
104,O2P4P5,28,1.784416095,100.2480952,1.917153246,107.7052385,1,a,F,NOC,1,88,17.8,0.0178,3/27/19,Wednesday,2
115,O3O4G6,28,3.489386773,222.2539346,3.526032113,224.5880327,9,a,M,OCE,5,79,15.7,0.0157,3/27/19,Wednesday,2
137,P1P2R3,28,3.071389094,301.1165778,3.226333885,316.3072437,14,b,M,NOC,7,70,10.2,0.0102,3/27/19,Wednesday,2
138,P1R2G4,28,4.970974158,297.6631232,5.107973364,305.8666685,17,a,F,OCE,9,81,16.7,0.0167,3/27/19,Wednesday,2
140,P1R2R6,28,3.141997558,418.9330077,3.302373313,440.3164417,8,b,M,NOC,4,68,7.5,0.0075,3/27/19,Wednesday,2
180,R1O2R5,28,2.39579102,223.9057028,2.498170872,233.4739133,12,b,M,OCE,6,72,10.7,0.0107,3/27/19,Wednesday,2
